,acousticness,artists,danceability,duration_ms,energy,explicit,id,instrumentalness,key,liveness,loudness,mode,name,popularity,release_date,speechiness,tempo,valence,year
8467,0.6409999999999999,The Beatles,0.482,155227,0.8490000000000001,0,5ZBeML7Lf3FMEVviTyvi8l,7.74e-06,2,0.0414,-9.198,1,Twist And Shout - Remastered 2009,73,1963-03-22,0.0452,124.631,0.937,1963
8473,0.27,The Beatles,0.491,173947,0.8009999999999999,0,3KiexfmhxHvG5IgAElmTkd,0.0,4,0.0665,-9.835,1,I Saw Her Standing There - Remastered 2009,68,1963-03-22,0.0361,160.109,0.971,1963
8476,0.207,The Beatles,0.416,127853,0.563,0,4joiWvli4qJVEW6qZV2i2J,0.0,1,0.343,-8.724,0,All My Loving - Remastered 2009,67,1963-11-22,0.0298,77.56,0.9,1963
8477,0.386,The Beatles,0.52,141693,0.8290000000000001,0,3VbGCXWRiouAq8VyMYN2MI,6.2e-05,0,0.227,-6.228,1,Love Me Do - Remastered 2009,67,1963-03-22,0.0806,147.997,0.7440000000000001,1963
8481,0.79,The Beatles,0.727,133507,0.338,0,0ESIjVxnDnCDaTPo6sStHm,0.0,5,0.105,-13.887,1,Till There Was You - Remastered 2009,62,1963-11-22,0.0454,122.421,0.6459999999999999,1963
8485,0.608,The Beatles,0.6729999999999999,117013,0.349,0,7Aobt67JnaF7qN8jCCKvHq,0.0,4,0.38,-12.414,1,Do You Want To Know A Secret - Remastered 2009,61,1963-03-22,0.0368,124.451,0.609,1963
8487,0.334,The Beatles,0.527,120853,0.48,0,6EHuOufBeL6vk3TvVJB5qo,0.0,4,0.0702,-9.61,1,Please Please Me - Remastered 2009,60,1963-03-22,0.028,139.388,0.706,1963
8492,0.635,The Beatles,0.608,177133,0.565,0,2baEFuU0gQon0hgVRioI1o,0.0,2,0.0601,-11.06,1,Anna (Go To Him) - Remastered 2009,59,1963-03-22,0.0336,109.286,0.835,1963
8496,0.525,The Beatles,0.373,181347,0.388,0,7rgUYidQh5tH0YlXCoKaYJ,0.0,9,0.267,-9.31,1,You Really Got A Hold On Me - Remastered 2009,58,1963-11-22,0.0337,77.643,0.687,1963
8499,0.778,The Beatles,0.608,160520,0.494,0,2VmB1rF9FtfKUmFHDVnq8Q,0.0,4,0.0926,-12.211,0,Baby It's You - Remastered 2009,58,1963-03-22,0.0345,112.421,0.879,1963
8502,0.217,The Beatles,0.49,122573,0.579,0,5tztLBvTlNC15Np2tnQ5Ll,0.0,1,0.0644,-10.300999999999998,0,All I've Got To Do - Remastered 2009,57,1963-11-22,0.0344,119.403,0.879,1963
8505,0.289,The Beatles,0.35100000000000003,165467,0.7490000000000001,0,3idqWaBn3mRdsIodCU6uBi,0.0,2,0.0952,-9.435,1,Roll Over Beethoven - Remastered 2009,58,1963-11-22,0.0628,160.673,0.967,1963
8506,0.284,The Beatles,0.472,133387,0.6729999999999999,0,4ekUX4pWizXXksJe0JfS9U,0.0,4,0.206,-8.853,1,It Won't Be Long - Remastered 2009,57,1963-11-22,0.0318,133.11700000000002,0.862,1963
8514,0.5539999999999999,The Beatles,0.371,148253,0.7240000000000001,0,7y1hMqXNa0dKQLZH7CKbUG,0.0,2,0.299,-9.792,1,Don't Bother Me - Remastered 2009,56,1963-11-22,0.0562,170.377,0.916,1963
