"","id","decade","name","artist","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","duration_ms","time_signature","chorus_hit","sections","target","explicit","popularity","release_date","year"
"1","000u1dTg7y1XCDXi80hbBX","80s","I Don't Want A Lover","Texas",0.756,0.47,7,-12.615,1,0.0394,0.196,0.000487,0.126,0.43,120.484,300600,4,31.7384,14,1,0,57,"1989-01-01",1989
"2","0024tEymsoc9FyKUauQngQ","70s","To the Unknown Man","Vangelis",0.305,0.234,1,-18.255,1,0.0259,0.752,0.929,0.132,0.078,82.453,546107,3,71.29274,22,0,0,39,"1977",1977
"3","003FTlCpBTM4eSqYSWPv4H","00s","Swing, Swing","The All-American Rejects",0.553,0.717,7,-5.857,1,0.0318,6.48e-05,0.128,0.0385,0.318,127.947,233267,4,29.84441,12,1,0,67,"2002-10-15",2002
"4","0046quUYhSAFccrKIC3Iht","80s","All Cried Out","Lisa Lisa And Cult Jam With Full Force Featuring Paul Anthony & Bow Legged Lou",0.48,0.435,1,-9.959,1,0.0305,0.207,5.83e-06,0.196,0.328,144.435,284973,4,22.2119,14,1,0,41,"1985-06-01",1985
"5","005lwxGU1tms6HGELIcUv9","00s","I Kissed A Girl","Katy Perry",0.699,0.76,5,-3.173,1,0.0677,0.00223,0,0.132,0.696,129.996,179640,4,31.50965,7,1,0,68,"2008-06-17",2008
"6","006yvCdaWUS79qp2Ip3Hdl","70s","Get It On","Chase",0.409,0.902,5,-5.714,1,0.1,0.487,0.00358,0.035,0.728,135.797,179147,4,25.59076,12,1,0,26,"1971-04-06",1971
"7","00c2vsoZuubtGkLFQCdT1p","80s","The Orchids","Psychic TV",0.29,0.0862,4,-22.686,1,0.0613,0.988,0.558,0.088,0.559,204.443,177878,3,32.41603,10,0,0,38,"1983-10-20",1983
"8","00CCi9yHJh7NjXcNT565Ja","70s","You Make Me Feel Brand New","The Stylistics",0.451,0.359,7,-8.567,1,0.0247,0.847,2.97e-05,0.137,0.178,76.015,288440,4,23.49127,12,1,0,61,"1973-10-23",1973
"9","00CmjeeHvAVKvx3tcIiZTy","60s","Two Lovers","Mary Wells",0.678,0.405,2,-16.965,1,0.0304,0.426,0,0.109,0.96,105.902,166733,4,29.18796,8,1,0,48,"1963-01-01",1963
"10","00cs7mlkTcIIoWnm8G0U0l","70s","Wigwam","Bob Dylan",0.407,0.47,0,-8.64,1,0.037,0.755,0.0216,0.0976,0.227,138.471,188253,4,40.03619,10,1,0,43,"1970-06-08",1970
"11","00D9QmFumhg2J7xjic5E7o","60s","The Yellow Princess","John Fahey",0.269,0.351,11,-18.824,0,0.0403,0.122,0.872,0.082,0.51,109.002,293147,4,24.06724,13,0,0,20,"1968",1968
"12","00EfoGDgbySqziFMbchaS1","60s","Carnival of the Animals, R. 125: Pianists","Camille Saint-Saëns",0.36,0.145,0,-21.793,0,0.0404,0.995,0.838,0.127,0.307,90.125,82133,4,27.66843,6,0,0,27,"1961",1961
"13","00GfGwzlSB8DoA0cDP2Eit","80s","Tender Lover","Babyface",0.743,0.86,5,-6.346,1,0.0445,0.226,0.000422,0.0513,0.687,102.459,259267,4,24.6992,11,1,0,37,"1989-07-07",1989
"14","00GfGwzlSB8DoA0cDP2Eit","90s","Tender Lover","Babyface",0.743,0.86,5,-6.346,1,0.0445,0.226,0.000422,0.0513,0.687,102.459,259267,4,24.6992,11,1,0,37,"1989-07-07",1989
"15","00Iqzdq2idIiTZLQwDHiX1","60s","Improvisations On The Theme Music From Pather Panchali - Digitally Remastered","Ravi Shankar",0.336,0.247,1,-21.54,1,0.0532,0.945,0.264,0.273,0.429,74.793,427480,4,65.11184,12,0,0,27,"1962",1962
