"","acousticness","danceability","release_date"
"1",0.707,0.494,"2021-01-22"
"2",0.492,0.761,"2021-01-22"
"3",0.367,0.613,"2021-01-22"
"4",0.27,0.491,"2021-01-22"
"5",0.42,0.521,"2021-01-22"
"6",0.265,0.635,"2021-01-22"
"7",0.836,0.521,"2014-01-01"
"8",0.091,0.462,"2006-11-17"
"9",0.0112,0.386,"2000-11-13"
"10",0.386,0.49,"2000-11-13"
"11",0.26,0.377,"2000-11-13"
"12",0.0904,0.564,"2000-11-13"
"13",0.12,0.665,"2000-11-13"
"14",0.147,0.472,"2000-11-13"
"15",0.141,0.65,"2000-11-13"
"16",0.871,0.401,"2000-11-13"
"17",0.0635,0.378,"2000-11-13"
"18",0.916,0.605,"2000-11-13"
"19",0.58,0.445,"2000-11-13"
"20",0.149,0.602,"2000-11-13"
"21",0.0487,0.546,"2000-11-13"
"22",0.265,0.636,"2000-11-13"
"23",0.118,0.426,"2000-11-13"
"24",0.404,0.524,"2000-11-13"
"25",0.0964,0.679,"2000-11-13"
"26",0.00465,0.651,"2000-11-13"
"27",0.507,0.581,"2000-11-13"
"28",0.437,0.397,"2000-11-13"
"29",0.402,0.498,"2000-11-13"
"30",0.0638,0.554,"2000-11-13"
"31",0.158,0.66,"2000-11-13"
"32",0.302,0.449,"2000-11-13"
"33",0.0601,0.559,"2000-11-13"
"34",0.667,0.326,"2000-11-13"
"35",0.0458,0.375,"1996-03-18"
"36",0.863,0.592,"1996-10-28"
"37",0.977,0.444,"1996-10-28"
"38",0.208,0.495,"1995-11-20"
"39",0.0438,0.474,"1995-11-20"
"40",0.0868,0.284,"1995-11-20"
"41",0.213,0.66,"1988-03-07"
"42",2.82e-05,0.234,"1988-03-07"
"43",0.0293,0.399,"1988-03-07"
"44",0.567,0.593,"1988-03-07"
"45",0.264,0.391,"1988-03-07"
"46",0.638,0.414,"1988-03-07"
"47",0.104,0.643,"1988-03-07"
"48",0.367,0.72,"1988-03-07"
"49",0.71,0.549,"1988-03-07"
"50",0.563,0.439,"1988-03-07"
"51",0.209,0.383,"1988-03-07"
"52",0.751,0.304,"1988-03-07"
"53",0.0888,0.417,"1988-03-07"
"54",0.189,0.49,"1988-03-07"
"55",0.613,0.644,"1988-03-07"
"56",0.102,0.373,"1988-03-07"
"57",0.313,0.69,"1988-03-07"
"58",0.616,0.653,"1988-03-07"
"59",0.517,0.461,"1988-03-07"
"60",0.00561,0.656,"1988-03-07"
"61",0.311,0.571,"1988-03-07"
"62",0.449,0.553,"1988-03-07"
"63",0.647,0.672,"1988-03-07"
"64",0.385,0.631,"1988-03-07"
"65",0.57,0.492,"1988-03-07"
"66",0.199,0.549,"1988-03-07"
"67",0.707,0.494,"1988-03-07"
"68",0.144,0.3,"1988-03-07"
"69",0.301,0.54,"1988-03-07"
"70",0.807,0.448,"1988-03-07"
"71",0.428,0.344,"1988-03-07"
"72",0.00171,0.529,"1988-03-07"
"73",0.0734,0.407,"1973-04-02"
"74",0.568,0.593,"1973-04-02"
"75",0.028,0.402,"1973-04-02"
"76",0.525,0.496,"1973-04-01"
"77",0.117,0.641,"1973-04-01"
"78",0.113,0.381,"1973-04-01"
"79",0.339,0.588,"1973-04-01"
"80",0.323,0.389,"1973-04-02"
"81",0.199,0.457,"1973-04-02"
